Master List of stations from stndata files. This is a template for the
GHCND data extraction/processing program.

Column 2 specifies which data can be extracted for each station.
The interpretation of this string of characters is:
  position 1 = TMIN
  position 2 = TMAX
  position 3 = PREC
  position 4 = TAVG
  position 5 = DEWP
  position 6 = WIND
  position 7 = CLDC
e.g. We may want to use everything EXCEPT precipitation, in which case
the string will be YY.YYYY
Y (upper or lower case) means yes (use it) while anything else means no.
A dot is used for no in hopes of making it easier to visualize at a glance.

The station name is also for user convenience and is not used.

The excluded years section for each station is usually blank, but in
some cases the station is one that we want to use except for a specific
period(s) during which it had obvious bad data.
If there are multiple periods they need to be separated by semicolons
Note that if an excluded period is specified it will apply to ALL data types.

station_id,   Latitude,  Longitude, UseData, station_name,              excluded_years
CA006101920 ,    44.733,   -76.600, ..Y...., CROW LAKE                , 
CA006101955 ,    44.967,   -76.617, ..Y...., DALHOUSIE L HIGH FALLS   , 
CA006101986 ,    44.617,   -76.133, ..Y...., DELTA                    , 
CA006102808 ,    44.333,   -76.500, YYY...., GLENBURNIE               , 
CA006102857 ,    44.567,   -76.633, YYY...., GODFREY                  , 
CA006102J13 ,    45.033,   -76.250, YYY...., DRUMMOND CENTRE          , 
CA006103367 ,    44.433,   -76.683, YYY...., HARTINGTON IHD           , 
CA006104025 ,    45.000,   -75.633, YYY...., KEMPTVILLE               , 
CA006104027 ,    45.000,   -75.633, YYY...., KEMPTVILLE CS            , 
CA006104146 ,    44.217,   -76.600, YYY...., KINGSTON A               , 
CA006104165 ,    44.267,   -76.500, YYY...., KINGSTON ONT HYDRO       , 
CA006104175 ,    44.250,   -76.483, YYY...., KINGSTON PUMPING STATION , 
CA006104725 ,    44.517,   -76.083, YYY...., LYNDHURST SHAWMERE       , 
CA006104880 ,    44.567,   -75.883, ..Y...., MALLORYTOWN GRAHAM LAKE  , 1984-1990
CA006105762 ,    45.050,   -76.783, YYY...., OMPAH-SEITZ              , 
CA006106660 ,    44.883,   -76.133, ..Y...., PORT ELMSLEY             , 
CA006106779 ,    45.317,   -77.717, ..Y...., PURDY                    , 
CA006107133 ,    44.850,   -76.150, ..Y...., RIDEAU FERRY             , 
CA006107835 ,    44.900,   -76.000, YYY...., SMITHS FALLS WPCP        , 
CA006110218 ,    44.150,   -79.867, YYY...., ALLISTON NELSON          , 
CA006110270 ,    44.317,   -79.867, YYY...., ANGUS                    , 
CA006110480 ,    44.267,   -79.317, YYY...., BALDWIN                  , 
CA006110557 ,    44.383,   -79.683, YYY...., BARRIE WPCC              , 
CA006110605 ,    45.133,   -79.383, YYY...., BEATRICE                 , 
CA006110606 ,    45.133,   -79.400, YYY...., BEATRICE 2               , 
CA006110661 ,    44.100,   -79.783, YYY...., BEETON                   , 
CA006110745 ,    46.083,   -79.400, YYY...., BINGHAM CHUTE            , 
CA006111045 ,    45.600,   -79.567, YYY...., BURKS FALLS              , 
CA006111467 ,    44.400,   -80.900, YYY...., CHATSWORTH               , 
CA006111769 ,    44.633,   -79.533, YYY...., COLDWATER WARMINSTER     , 
CA006111792 ,    44.500,   -80.217, YYY...., COLLINGWOOD              , 1994-1996
CA006111793 ,    44.483,   -80.217, YYY...., COLLINGWOOD              , 
CA006111859 ,    44.200,   -79.700, YYY...., COOKSTOWN                , 
CA006112072 ,    45.217,   -78.933, YYY...., DORSET MOE               , 
CA006112133 ,    45.617,   -79.883, YYY...., DUNCHURCH                , 
CA006112171 ,    44.183,   -80.817, YYY...., DURHAM                   , 
CA006112340 ,    44.350,   -79.817, YYY...., ESSA ONT HYDRO           , 
CA006113329 ,    44.117,   -81.000, YYY...., HANOVER                  , 
CA006113490 ,    44.850,   -79.867, YYY...., HONEY HBR BEAUSOLEIL     , 
CA006113510 ,    44.083,   -80.567, ..Y...., HOPEVILLE                , 
CA006113660 ,    45.317,   -79.250, YYY...., HUNTSVILLE               , 
CA006113663 ,    45.350,   -79.167, YYY...., HUNTSVILLE WPCP          , 
CA006114006 ,    45.533,   -79.400, ..Y...., KATRINE DOE LAKE         , 
CA006114805 ,    45.667,   -79.783, YYY...., MAGNETAWAN               , 
CA006115059 ,    44.617,   -80.633, YYY...., MEAFORD WILLOWMERE       , 
CA006115099 ,    44.450,   -79.767, YYY...., MIDHURST                 , 1945-1955
CA006115127 ,    44.750,   -79.883, YYY...., MIDLAND WATER POLLUTION C, 2006-2014
CA006115150 ,    45.100,   -79.483, YYY...., MILFORD BAY              , 
CA006115525 ,    44.967,   -79.300, YYY...., MUSKOKA A                , 2005-2017
CA006115810 ,    44.617,   -79.400, YYY...., ORILLIA                  , 
CA006115811 ,    44.600,   -79.433, YYY...., ORILLIA BRAIN            , 
CA006115820 ,    44.617,   -79.417, YYY...., ORILLIA TS               , 
CA006116128 ,    44.567,   -80.917, YYY...., OWEN SOUND               , 
CA006116132 ,    44.583,   -80.933, YYY...., OWEN SOUND MOE           , 
CA006116254 ,    45.333,   -80.000, YYY...., PARRY SOUND              , 
CA006116257 ,    45.350,   -80.050, YYY...., PARRY SOUND CCG          , 
CA006116702 ,    46.117,   -79.250, YYY...., POWASSAN                 , 
CA006116718 ,    44.200,   -80.633, ..Y...., PRICEVILLE               , 
CA006116750 ,    44.167,   -80.517, YYY...., PROTON STATION           , 
CA006116843 ,    45.017,   -79.683, YYY...., RAGGED RAPIDS            , 
CA006116902 ,    44.217,   -79.400, YYY...., RAVENSHOE                , 
CA006117663 ,    45.517,   -79.300, ..Y...., SCOTIA                   , 
CA006117684 ,    44.400,   -79.633, YYY...., SHANTY BAY               , 
CA006117700 ,    44.483,   -79.550, YYY...., BARRIE-ORO               , 
CA006117957 ,    45.833,   -79.383, YYY...., SOUTH RIVER              , 
CA006117981 ,    45.433,   -79.483, ..Y...., SPRUCEDALE               , 
CA006118938 ,    46.033,   -79.383, ..Y...., TROUT CREEK              , 
CA006119055 ,    44.267,   -79.167, YYY...., UDORA                    , 
CA006119274 ,    44.517,   -80.733, YYY...., WALTERS FALLS            , 
CA006119325 ,    44.750,   -79.333, ..Y...., WASHAGO                  , 
CA006119399 ,    44.767,   -79.700, Y.Y...., WAUBAUSHENE              , 
CA006119500 ,    44.750,   -81.100, YYY...., WIARTON A                , 
CA00611E001 ,    44.233,   -79.783, YYY...., EGBERT CS                , 
CA00611HBEC ,    44.567,   -80.483, YYY...., THORNBURY SLAMA          , 
CA00611KBE0 ,    44.233,   -79.783, YYY...., EGBERT CARE              , 
CA006120819 ,    43.717,   -81.383, YYY...., BLYTH                    , 
CA006121025 ,    43.550,   -81.550, YYY...., BRUCEFIELD               , 
CA006121275 ,    43.300,   -81.517, YYY...., CENTRALIA A              , 1944-1946
CA006121969 ,    43.367,   -81.617, YYY...., DASHWOOD                 , 
CA0061219J1 ,    42.767,   -82.450, YYY...., COURTRIGHT               , 
CA006122370 ,    43.350,   -81.500, YYY...., EXETER                   , 
CA006122450 ,    43.167,   -82.033, YYY...., FOREST                   , 
CA006122847 ,    43.767,   -81.717, YYY...., GODERICH                 , 1980-1996
CA006122851 ,    43.717,   -81.700, YYY...., GODERICH TOWNSHIP        , 
CA006123672 ,    43.317,   -81.500, YYY...., HURON PARK               , 
CA006124123 ,    43.100,   -81.567, YYY...., NAIRN                    , 
CA006124127 ,    44.167,   -81.617, YYY...., KINCARDINE               , 
CA006124700 ,    43.950,   -81.500, YYY...., LUCKNOW                  , 
CA006125155 ,    45.100,   -81.517, ..Y...., MILLER LAKE FOREST       , 
CA006126210 ,    44.267,   -81.367, YYY...., PAISLEY                  , 
CA006126499 ,    42.883,   -82.167, YYY...., PETROLIA TOWN            , 
CA006127418 ,    43.750,   -81.683, YYY...., SALTFORD                 , 
CA006127514 ,    43.000,   -82.300, YYY...., SARNIA AIRPORT           , 
CA006127551 ,    44.683,   -81.250, ..Y...., SAUBLE FOREST            , 
CA006127887 ,    44.500,   -81.367, YYY...., SOUTHAMPTON              , 
CA006128206 ,    44.517,   -81.150, YYY...., TARA                     , 
CA006128320 ,    45.250,   -81.667, YYY...., TOBERMORY                , 1977-1985
CA006129235 ,    44.133,   -81.150, YYY...., WALKERTON                , 
CA006129660 ,    43.867,   -81.150, ..Y...., WROXETER                 , 
CA00612HKLR ,    43.183,   -81.850, YYY...., THEDFORD                 , 
CA006130257 ,    42.100,   -83.100, YYY...., AMHERSTBURG              , 2010-2015
