yrs WSU CSU ESU WB GrB SMI CMI NCMI NMI NHU EHU CHU SB SMR NCGeB WER CER EER LSC WON EON CON
2009 63 67 38.5 81.2 94.1 16.8 8.8 17.3 71.4 35.6 25.2 45.8 68 98.5 70.8 60.5 61.5 74.6 70 5.5 48.4 5.8
2010 11.5 12.2 3.2 53.2 80.4 9.6 3.8 4.3 29.1 6.1 3.8 11.5 61.7 86.9 35.7 62.1 44.1 41.1 76.7 2.8 23.5 1.7
2011 15.9 13.9 9.4 68.9 88.7 11.5 2.9 4.7 42.8 16.4 11.6 32.5 81.8 97.8 58.8 63.7 64.8 63.1 86.4 2.4 37.8 4
2012 1.8 5.3 0.3 14.1 51.4 0.5 0.2 0.7 14.6 2.1 0.8 1.7 29.1 75.8 19 8.6 0.3 0.7 17.5 0 3.3 0.1
2013 13.7 13.8 6.1 58 79.2 3.7 1 2.7 32.7 7.5 4.1 9.4 58.6 88.9 36.8 40.2 28.7 16.7 58.7 0.2 21.6 0.8
2014 71.2 77.7 66.5 94.8 98.5 44.8 34.5 45.9 84.3 69.1 62.5 72.6 86.4 100 79.7 87 83.6 82.6 97.2 7.4 71.4 14.7
2015 31.9 52.6 54.6 89.9 92.7 24.2 11.9 27.1 83.6 46.2 54.6 51.6 78.5 98 76.8 79.7 80.9 79.7 90.7 17.2 74.9 24.4
2016 4.9 8.2 2.1 32.6 61.3 3.2 0.9 1.7 21.4 4.2 3.1 6.5 44.5 78.1 26 26.8 9.4 6.2 36.2 0.4 15.4 0.8
2017 2.4 7.3 3.2 51.8 77.7 1.9 0.4 1.9 32.4 4.7 2.7 4.9 41.2 88.6 30.7 17.3 3.3 2.9 34.5 0.1 10.4 0.4
2018 28.5 47.7 33 89.9 89.7 10.8 3.9 6.4 51.4 20.1 14.2 24.9 53.1 99.2 54.3 48.7 52.2 67.5 62.1 1.5 36.9 2.7
2019 48.2 52.7 40.9 82.5 88.5 11 8.6 15.4 65.3 30.5 23 34.1 64.1 97.1 63.7 50.8 49.8 58.7 62.8 1.8 46.6 5.7
2020 4.6 8.9 3.5 51.5 71.2 0.7 0.1 1.2 21 5.1 1.8 3.3 35 88.1 30.5 4.7 0.2 0.9 17.6 0 8.9 0.4
2021 12.1 14.6 5.9 44.7 61.1 5.8 1.4 2 24.9 5.3 2.6 8.4 46.5 77.4 29.6 31.8 22.1 13.5 40.2 1 17.6 1.4
2022 37.5 36 22.2 78.6 86.2 6.5 2.8 10 61.3 23.2 12.4 25 71 94.6 54 49.4 37.9 35.6 66.7 1.9 33.1 3.1
2023 5.8 8.9 2.3 47.5 68.8 0.6 0.3 1.3 20.6 3.5 2 2.2 31.7 84.5 25.7 15.2 1.6 1.5 14.6 0.1 10 0.4
2024 0.9 4.7 0.3 10.4 35.8 1.1 0.3 0.6 11.6 1.9 0.8 1.5 21.4 59.3 15 17 1.8 1.4 19.8 0.1 3.4 0.1
2025 6.7 11.4 8.2 67.4 70.1 7.2 1.7 3.3 41.5 8 7.2 19 55.6 91.2 40.4 52.1 46.8 56 66.4 1.6 35.3 2.3
