Master List of stations from stndata files. This is a template for the
GHCND data extraction/processing program.

Column 2 specifies which data can be extracted for each station.
The interpretation of this string of characters is:
  position 1 = TMIN
  position 2 = TMAX
  position 3 = PREC
  position 4 = TAVG
  position 5 = DEWP
  position 6 = WIND
  position 7 = CLDC
e.g. We may want to use everything EXCEPT precipitation, in which case
the string will be YY.YYYY
Y (upper or lower case) means yes (use it) while anything else means no.
A dot is used for no in hopes of making it easier to visualize at a glance.

The station name is also for user convenience and is not used.

The excluded years section for each station is usually blank, but in
some cases the station is one that we want to use except for a specific
period(s) during which it had obvious bad data.
If there are multiple periods they need to be separated by semicolons
Note that if an excluded period is specified it will apply to ALL data types.

station_id,   Latitude,  Longitude, UseData, station_name,              excluded_years
726356-99999,    42.120,   -86.480, ...Y.Y., SAINT JOSEPH COAST GUARD , 
726358-99999,    41.703,   -86.820, ...Y.Y., MICHIGAN CITY MUNICIPAL A, 
726360-14840,    43.171,   -86.230, ...YYYY, MUSKEGON COUNTY AIRPORT  , 1995-2004
726364-04883,    43.963,   -86.400, ...YYYY, MASON COUNTY AIRPORT     , 
726365-99999,    43.950,   -86.470, ...Y.Y., LUDINGTON COAST GUARD STA, 
726376-99999,    43.000,   -82.420, ...Y.Y., PORT HURON COAST GUARD ST, 
726377-99999,    43.630,   -83.850, ...Y.Y., SAGINAW RIVER COAST GUARD, 
726379-14845,    43.533,   -84.080, ...YYYY, MBS INTERNATIONAL AIRPORT, 1997-2002
726385-99999,    44.272,   -86.240, ...YYYY, MANISTEE CO BLACKER      , 
726386-99999,    44.630,   -86.250, ...Y.Y., FRANKFORT COAST GUARD STA, 
726387-14850,    44.741,   -85.580, ...YYYY, CHERRY CAPITAL AIRPORT   , 1998-2002
726390-94849,    45.072,   -83.560, ...YYYY, ALPENA COUNTY REGIONAL AI, 1998-2004 
726394-99999,    46.311,   -85.450, ...Y.Y., LUCE CO                  , 
726395-14808,    44.450,   -83.400, ...YYYY, OSCODA-WURTSMITH AIRPORT , 1995-2004
726399-99999,    45.950,   -86.230, ...YYY., MANISTIQUE               , 
726400-14839,    42.955,   -87.900, ...YYYY, GENERAL MITCHELL INTERNAT, 1995-2004
726405-94869,    43.109,   -88.030, ...YYYY, LAWRENCE J TIMMERMAN AIRP, 
726406-99999,    42.580,   -87.750, ...Y.Y., KENOSHA COAST GUARD STATI, 
726407-99999,    43.020,   -87.950, ...Y.Y., MILWAUKEE COAST GUARD LIG, 
726408-99999,    43.750,   -87.700, ...Y.Y., SHEBOYGAN COAST GUARD STA, 
726409-04897,    43.041,   -88.230, ...Y.Y., WAUKESHA COUNTY AIRPORT  , 
726419-94929,    46.549,   -90.910, ...YYYY, JOHN F KENNEDY MEMO ARPT , 
726424-94818,    42.761,   -87.810, ...YY.., JOHN H BATTEN AIRPORT    , 
726425-04841,    43.769,   -87.850, ...YYYY, SHEBOYGAN CO MEMO AIRPORT, 
726450-14898,    44.479,   -88.130, ...YYYY, AUSTIN STRAUBEL INTERNATI, 1995-2004
726454-99999,    44.130,   -87.550, ...Y.Y., TWO RIVERS COAST GUARD ST, 
726455-99999,    44.133,   -87.680, ...YYYY, MANITOWOC CO             , 
726458-99999,    44.850,   -87.410, ...Y.Y., DOOR CO CHERRYLAND       , 
726480-99999,    45.723,   -87.090, ...YYYY, DELTA CO                 , 
726482-99999,    45.717,   -87.100, ...YYYY, ESCANABA (AWOS)          , 
726487-94896,    45.117,   -87.630, ...YYYY, MEONE-MARINETTE TWIN CO A, 
726487-99999,    45.127,   -87.630, ...YYYY, MENOMINEE MARINETTE      , 
726505-04845,    42.595,   -87.930, ...YYYY, KENOSHA REGIONAL AIRPORT , 
727340-14847,    46.479,   -84.350, ...YYYY, SAULT STE MARIE MUNI/SASN, 1996-2004
727344-99999,    46.250,   -84.460, ...YYYY, CHIPPEWA CO INTL         , 
727345-14847,    46.479,   -84.350, ...YYYY, SAULT STE MARIE          , 
727346-99999,    46.500,   -84.330, ...Y.Y., SAULT STE. MARIE COAST GU, 
727347-14841,    45.564,   -84.790, ...YYYY, PELLSTON REGIONAL ARPT OF, 1999-2004
727348-99999,    45.850,   -84.720, ...Y..., SAINT IGNACE             , 
727430-94850,    46.531,   -87.540, ...YYYY, MARQUETTE MICHIGAN COUNTY, 
727435-99999,    45.865,   -84.630, ...YYYY, MACKINACK ISLAND         , 
727436-99999,    44.983,   -85.200, ...YYYY, ANTRIM CO                , 
727438-99999,    46.550,   -87.380, ...Y.Y., MARQUETTE COAST GUARD LIG, 
727440-14858,    47.169,   -88.480, ...YYYY, HOUGHTON COUNTY MEMO ARPT, 1998-2004
727445-99999,    46.527,   -90.130, ...YYYY, GOCEBIC IRON CO          , 
727450-14913,    46.837,   -92.180, ...YYYY, DULUTH INTERNATIONAL AIRP, 1995-2004
727456-99999,    46.722,   -92.040, ...Y.Y., SKY HARBOR               , 
727554-99999,    47.750,   -90.340, ...YYY., GRAND MARAIS             , 
743700-14715,    44.050,   -75.730, .....YY, WHEELER-SACK AAF AIRPORT , 
743700-99999,    44.050,   -75.730, ...YYYY, FORT DRUM/WHEELER-S      , 1940-1979
744665-04838,    42.121,   -87.900, ...YYYY, PALWAUKEE MUNICIPAL ARPT , 
744989-14747,    42.493,   -79.270, ...YYYY, CHAUTAUQUA CO/DUNKIRK ARP, 
992140-99999,    42.680,   -87.030, ...Y.Y., S MICHIGAN 43NM EAST SOUT, 
994090-99999,    48.220,   -88.370, ...Y.Y., PASSAGE ISLAND  MI       , 
994130-99999,    47.870,   -89.310, ...Y.Y., ROCK OF AGES  MI         , 
994190-99999,    47.080,   -90.730, ...Y.Y., DEVILS ISLAND  WI        , 
994200-99999,    47.180,   -87.220, ...Y.Y., STANNARD ROCK  MI        , 
994250-99999,    42.490,   -79.350, ...Y.Y., DUNKIRK  NY              , 
994330-99999,    43.750,   -87.690, ...YYY., SHEBOYGAN  WI            , 
994340-99999,    41.630,   -82.840, ...Y.Y., SOUTH BASS ISLAND  OH    , 
999999-14768,    43.117,   -77.670, ...YYYY, ROCHESTER MONROE CO ARPT , 
999999-14819,    41.786,   -87.750, ...YYYY, CHICAGO MIDWAY AP        , 
999999-14820,    41.405,   -81.850, ...YYYY, CLEVELAND HOPKINS INTL AP, 
999999-14822,    42.409,   -83.010, ...YYYY, DETROIT CITY AIRPORT     , 
999999-14840,    43.171,   -86.230, ...YYYY, MUSKEGON COUNTY ARPT     , 
999999-14850,    44.741,   -85.580, ...YYYY, TRAVERSE CITY CHERRY CAPI, 
999999-14853,    42.233,   -83.530, ...YYYY, DETROIT WILLOW RUN AP    , 
999999-14855,    42.083,   -87.830, ...YYYY, NAVAL AIR STATION        , 
999999-14856,    42.100,   -83.160, ...YYYY, GROSSE ILE NAS           , 
999999-14858,    47.169,   -88.480, ...YYY., HANCOCK HOUGHTON CO AP   , 
999999-14860,    42.080,   -80.180, ...YYYY, ERIE INTERNATIONAL AP    , 
999999-14913,    46.837,   -92.183, ...YYYY, DULUTH WILLIAMSN-JOHNSN M, 
999999-54810,    46.335,   -86.920, ...Y.Y., CHATHAM 1 SE             , 
999999-94824,    46.250,   -84.460, ...YYYY, KINCHELOE AFB            , 
999999-94830,    41.589,   -83.800, ...YYYY, TOLEDO EXPRESS AIRPORT   , 

