yrs WSU CSU ESU WB GrB SMI CMI NCMI NMI NHU EHU CHU SB SMR NCGeB WER CER EER LSC WON EON CON
2009 1.5 1.2 1.4 1.3 1.1 2.5 1.9 1.4 1.4 1.7 2.9 2.1 1.9 1.3 2.4 2.4 2.9 2.8 2.3 2.2 2.2 2.1
2010 0.7 0.9 0.9 0.6 0.6 1.2 0.9 0.6 0.5 0.5 1.2 0.9 0.6 0.4 0.8 1.3 2.2 2.2 1.1 1.6 1.8 1.6
2011 0.7 1.1 1.1 1.1 1.1 2.5 1.9 1.2 1 1.1 3.1 1.9 1.6 1 2.2 2.7 3.1 3.2 2.6 2.4 2.7 2.6
2012 1 1.3 1.5 1.6 1.2 1.8 1.8 1.5 1.7 1.7 2.3 1.5 1.7 1.7 2 2.2 2.4 2.5 1.8 1.5 2 1.8
2013 1.2 1.6 2.2 2.7 1.8 2.4 2.4 2.1 2.2 2.4 3.7 1.9 1.8 2.3 2.9 1.8 2.1 2.2 1.9 2.1 2 2
2014 1.2 1.5 1.7 2 1.2 1.7 1.2 1.4 1.6 1.6 3.1 1.5 1.4 1.4 2.4 1.7 1.8 2.9 1.9 1.7 3 2.2
2015 0.6 0.8 1.5 1.7 0.4 1 0.8 0.7 1 1.3 2.7 0.9 0.6 1 1.8 1.4 1.7 2.9 1.2 1.3 1.9 1.4
2016 1.6 1.9 2.3 2.2 1.5 1.7 1.7 1.9 2.2 2.4 4.3 2.6 2.3 1.6 3.5 2.3 2.4 3 2.6 2.4 3.1 2.4
2017 1.3 1.2 2.1 2.7 1.5 2.5 2.1 1.8 2 2 NA 2.3 2.1 1.8 NA 2.6 2.6 3.2 2.6 2.3 2.8 2.4
2018 0.8 1 1.5 1.5 0.9 2 1.5 1.3 1.4 1.3 3.1 1.9 1.6 1 1.6 2.4 2.6 2.7 2.2 2 2.7 2.3
2019 1.3 1.9 2.7 3.2 1.8 2.4 2.2 1.9 2.3 2 NA 2 1.8 2.3 2.5 2.1 2.3 3 2.1 2.2 2.8 2.2
2020 1.2 1.4 2.2 2.3 1.9 2.1 1.7 1.8 1.8 1.7 NA 2 1.6 1.7 1.9 2.5 2.5 2.9 2.5 2.6 2.8 2.5
2021 0.9 1.2 1.6 1.4 0.9 1.3 1 0.9 1 0.9 NA 1.3 0.9 1.2 1.5 1.3 1.3 1.8 1.5 1.5 1.9 1.4
2022 1.3 1.8 2.1 2.4 1.9 1.9 1.6 1.9 2 1.4 NA 1.9 1.9 1.7 2.2 1.6 1.9 3.1 1.6 2.4 2.7 2.1
2023 1.7 2.1 2.1 1.9 1.7 2.8 2.5 1.8 1.7 1.9 NA 2 1.8 1.4 2.3 2.9 3.2 3.4 2.8 3 2.7 2.5
2024 1 1.1 1.7 1.9 1.1 2.6 2.2 1.2 1.3 1.3 NA 1.6 1.6 1.3 2.4 1.8 2.9 2.6 2 2.2 2.3 2
