yrs WSU CSU ESU WB GrB SMI CMI NCMI NMI NHU EHU CHU SB SMR NCGeB WER CER EER LSC WON EON CON
2009 6.4 5.1 3.8 3.2 3.7 4.1 4.6 3.6 3.2 NA 4 4 3.7 3.2 3.6 4.9 4.4 5 4.2 4.3 3.4 4.4
2010 6 4.9 4.6 2.9 3.6 3.6 4.1 3.1 3 NA 3.5 3.9 3.8 2.9 3.7 4.4 3.9 4.8 3.8 4.1 3.6 4.2
2011 6.5 5.3 4.7 3 3.6 4.1 4.2 3.5 3.3 NA 3.9 4.1 3.9 3 3.7 4.7 4.4 5 4.2 4.3 3.5 4.2
2012 6.4 5.3 4.8 4 3.7 4.2 4.2 NA 3.2 NA 4.1 4.2 3.9 4 3.6 5.2 4.6 5.3 4.3 4.5 3.9 4.6
2013 6.6 5.4 4.9 4 3.9 4.2 4.7 3.7 3.5 4.7 4.5 4.4 4.1 4 4.2 5.4 4.7 5.5 4.6 4.6 4.2 4.7
2014 7 5.6 4.7 3.8 3.9 4.6 5.1 3.9 3.5 4.9 4.6 4.3 4.2 3.8 4.1 5.4 4.8 5.7 4.8 5 4.5 5.1
2015 6.9 5.4 4.8 3.7 3.8 4.1 4.7 3.7 3.5 4.9 4.5 4.2 4.1 3.7 4.2 4.9 4.2 5.3 4.3 4.8 4.4 4.9
2016 4.3 3.4 3.7 3.5 3.7 4.2 4.2 3.7 3.4 4.3 4.5 4.3 3.9 3.5 4 4.9 4.8 5.2 4.6 4.8 4.3 4.9
2017 6.8 5.5 4.9 4.1 4 4.3 4.7 3.7 3.6 4.6 4.5 4.3 3.9 4.1 4.1 5.5 4.6 5.7 4.5 4.8 4.3 4.9
2018 6.8 5.2 4.7 3.6 3.8 4.3 4.6 3.6 3.6 NA 4.4 4.3 4.1 3.6 4.2 5.3 4.6 5.4 4.6 4.8 4.2 4.9
2019 6.7 4.9 4.4 3.5 3.7 4.3 4.6 3.4 3.5 4.4 4.4 4.4 4 3.5 4 5.3 4.6 5.7 4.6 4.9 4.5 5.4
2020 6.8 5.2 4.9 3.9 3.7 4.2 4.6 3.6 3.7 4.4 4.2 4.1 3.8 3.9 3.7 5.1 4.3 5.2 4.5 4.6 3.7 4.8
2021 6.1 4.5 4.4 3.5 3.5 4 4.3 3.3 3.4 NA NA 4.1 3.9 3.5 NA 4.5 4.1 5 4.3 4.3 3.4 4.5
2022 6.6 5 5 3.8 4.1 4.5 5 3.9 3.9 NA 4.4 4.5 4.2 3.8 3.9 5.5 4.7 5.6 4.7 4.8 3.9 5.3
2023 6 4.5 4.5 3.7 4.3 4.2 4.5 3.6 3.6 NA 4.4 4.2 4 3.7 3.8 5.3 4.3 5.3 4.5 4.7 3.6 5.1
2024 6.4 4.6 4.5 3.7 3.7 4.2 4.4 3.4 3.4 NA NA 4 3.7 3.7 NA 5.1 4.3 5.1 4.4 NA 3.7 4.8
